Frame,TailAngle,Condition,Fish ID,Trial,Percentage
1,-0.262230524,WT,WT6,4,0.011904762
2,-0.262506186,WT,WT6,4,0.023809524
3,-0.262196111,WT,WT6,4,0.035714286
4,-0.298984956,WT,WT6,4,0.047619048
5,-0.264061758,WT,WT6,4,0.05952381
6,-0.263090976,WT,WT6,4,0.071428571
7,-0.269108188,WT,WT6,4,0.083333333
8,-0.281995665,WT,WT6,4,0.095238095
9,-0.303263008,WT,WT6,4,0.107142857
10,-0.362553693,WT,WT6,4,0.119047619
11,-0.394505258,WT,WT6,4,0.130952381
12,-0.411842478,WT,WT6,4,0.142857143
13,-0.486010225,WT,WT6,4,0.154761905
14,-0.558584024,WT,WT6,4,0.166666667
15,-0.574134728,WT,WT6,4,0.178571429
16,-0.654363623,WT,WT6,4,0.19047619
17,-0.729478777,WT,WT6,4,0.202380952
18,-0.790588759,WT,WT6,4,0.214285714
19,-0.71973929,WT,WT6,4,0.226190476
20,-0.864076986,WT,WT6,4,0.238095238
21,-0.787398577,WT,WT6,4,0.25
22,-0.949947321,WT,WT6,4,0.261904762
23,-0.980681853,WT,WT6,4,0.273809524
24,-0.89827286,WT,WT6,4,0.285714286
25,-0.986813628,WT,WT6,4,0.297619048
26,-1.286976881,WT,WT6,4,0.30952381
27,-1.479371374,WT,WT6,4,0.321428571
28,-1.140534401,WT,WT6,4,0.333333333
29,-1.173164623,WT,WT6,4,0.345238095
30,-1.170064558,WT,WT6,4,0.357142857
31,-1.326546446,WT,WT6,4,0.369047619
32,-1.27723083,WT,WT6,4,0.380952381
33,-0.997213786,WT,WT6,4,0.392857143
34,-1.007250148,WT,WT6,4,0.404761905
35,-0.999508462,WT,WT6,4,0.416666667
36,-1.057366383,WT,WT6,4,0.428571429
37,-1.152839818,WT,WT6,4,0.44047619
38,-1.308132458,WT,WT6,4,0.452380952
39,-1.343603773,WT,WT6,4,0.464285714
40,-1.191190089,WT,WT6,4,0.476190476
41,-0.953083231,WT,WT6,4,0.488095238
42,-1.289217044,WT,WT6,4,0.5
43,-1.289558302,WT,WT6,4,0.511904762
44,-1.288800309,WT,WT6,4,0.523809524
45,-1.042421761,WT,WT6,4,0.535714286
46,-1.138383281,WT,WT6,4,0.547619048
47,-1.105973132,WT,WT6,4,0.55952381
48,-1.05530617,WT,WT6,4,0.571428571
49,-1.014910329,WT,WT6,4,0.583333333
50,-0.947256524,WT,WT6,4,0.595238095
51,-0.933228121,WT,WT6,4,0.607142857
52,-0.857772834,WT,WT6,4,0.619047619
53,-0.808370619,WT,WT6,4,0.630952381
54,-0.734181258,WT,WT6,4,0.642857143
55,-0.682066183,WT,WT6,4,0.654761905
56,-0.628558584,WT,WT6,4,0.666666667
57,-0.577833645,WT,WT6,4,0.678571429
58,-0.562911306,WT,WT6,4,0.69047619
59,-0.487623947,WT,WT6,4,0.702380952
60,-0.453999434,WT,WT6,4,0.714285714
61,-0.410334873,WT,WT6,4,0.726190476
62,-0.373734369,WT,WT6,4,0.738095238
63,-0.352618752,WT,WT6,4,0.75
64,-0.313678641,WT,WT6,4,0.761904762
65,-0.263271917,WT,WT6,4,0.773809524
66,-0.221238545,WT,WT6,4,0.785714286
67,-0.100938677,WT,WT6,4,0.797619048
68,-0.095303664,WT,WT6,4,0.80952381
69,-0.118480609,WT,WT6,4,0.821428571
70,-0.075481064,WT,WT6,4,0.833333333
71,-0.03801672,WT,WT6,4,0.845238095
72,-0.034733741,WT,WT6,4,0.857142857
73,-0.003218675,WT,WT6,4,0.869047619
74,0.005615555,WT,WT6,4,0.880952381
75,0.002269774,WT,WT6,4,0.892857143
76,-0.001834174,WT,WT6,4,0.904761905
77,-1.287606846,WT,WT6,4,0.916666667
78,0.105033119,WT,WT6,4,0.928571429
79,0.085146142,WT,WT6,4,0.94047619
80,0.095819718,WT,WT6,4,0.952380952
81,0.097744229,WT,WT6,4,0.964285714
82,0.105013278,WT,WT6,4,0.976190476
83,0.096330767,WT,WT6,4,0.988095238
84,0.096330767,WT,WT6,4,1
1,0.022516756,WT,WT6,5,0.010526316
2,0.002704464,WT,WT6,5,0.021052632
3,0.02352032,WT,WT6,5,0.031578947
4,0.015933872,WT,WT6,5,0.042105263
5,0.015716336,WT,WT6,5,0.052631579
6,0.015642325,WT,WT6,5,0.063157895
7,0.016751729,WT,WT6,5,0.073684211
8,0.013711298,WT,WT6,5,0.084210526
9,0.001943232,WT,WT6,5,0.094736842
10,0.010122693,WT,WT6,5,0.105263158
11,0.011080168,WT,WT6,5,0.115789474
12,0.004946601,WT,WT6,5,0.126315789
13,-0.006596923,WT,WT6,5,0.136842105
14,-0.037378227,WT,WT6,5,0.147368421
15,-0.102019866,WT,WT6,5,0.157894737
16,-0.135853509,WT,WT6,5,0.168421053
17,-0.151546852,WT,WT6,5,0.178947368
18,-0.213117698,WT,WT6,5,0.189473684
19,-0.275745844,WT,WT6,5,0.2
20,-0.325840085,WT,WT6,5,0.210526316
21,-0.395138605,WT,WT6,5,0.221052632
22,-0.444547376,WT,WT6,5,0.231578947
23,-0.501402367,WT,WT6,5,0.242105263
24,-0.57396267,WT,WT6,5,0.252631579
25,-0.623127669,WT,WT6,5,0.263157895
26,-0.716932393,WT,WT6,5,0.273684211
27,-0.8242598,WT,WT6,5,0.284210526
28,-0.898878992,WT,WT6,5,0.294736842
29,-1.09834035,WT,WT6,5,0.305263158
30,-1.210934554,WT,WT6,5,0.315789474
31,-1.296318371,WT,WT6,5,0.326315789
32,-1.3436773,WT,WT6,5,0.336842105
33,-1.211933668,WT,WT6,5,0.347368421
34,-1.324997228,WT,WT6,5,0.357894737
35,-1.51816026,WT,WT6,5,0.368421053
36,-1.576471007,WT,WT6,5,0.378947368
37,-1.512923824,WT,WT6,5,0.389473684
38,-1.560894827,WT,WT6,5,0.4
39,-1.519665098,WT,WT6,5,0.410526316
40,-1.512508863,WT,WT6,5,0.421052632
41,-1.469585856,WT,WT6,5,0.431578947
42,-1.443428034,WT,WT6,5,0.442105263
43,-1.3926899,WT,WT6,5,0.452631579
