Frame,TailAngle,Condition,Fish ID,Trial,Percentage
1,-0.073926295,MED,MED3,1,0.021276596
2,-0.061007572,MED,MED3,1,0.042553191
3,-0.083397613,MED,MED3,1,0.063829787
4,-0.063436422,MED,MED3,1,0.085106383
5,-0.079726926,MED,MED3,1,0.106382979
6,-0.048858836,MED,MED3,1,0.127659574
7,0.014065687,MED,MED3,1,0.14893617
8,0.131549837,MED,MED3,1,0.170212766
9,0.219090776,MED,MED3,1,0.191489362
10,0.31892249,MED,MED3,1,0.212765957
11,0.459364308,MED,MED3,1,0.234042553
12,0.55319201,MED,MED3,1,0.255319149
13,0.629612674,MED,MED3,1,0.276595745
14,0.709254949,MED,MED3,1,0.29787234
15,0.781946941,MED,MED3,1,0.319148936
16,0.873273383,MED,MED3,1,0.340425532
17,0.964564158,MED,MED3,1,0.361702128
18,0.994106811,MED,MED3,1,0.382978723
19,0.949230491,MED,MED3,1,0.404255319
20,0.937004414,MED,MED3,1,0.425531915
21,0.891931342,MED,MED3,1,0.446808511
22,0.78896757,MED,MED3,1,0.468085106
23,0.691341273,MED,MED3,1,0.489361702
24,0.572899383,MED,MED3,1,0.510638298
25,0.494249962,MED,MED3,1,0.531914894
26,0.40887404,MED,MED3,1,0.553191489
27,0.319776098,MED,MED3,1,0.574468085
28,0.162725581,MED,MED3,1,0.595744681
29,0.182401467,MED,MED3,1,0.617021277
30,0.155368952,MED,MED3,1,0.638297872
31,-0.031476411,MED,MED3,1,0.659574468
32,-0.102516508,MED,MED3,1,0.680851064
33,-0.104436026,MED,MED3,1,0.70212766
34,-0.097462187,MED,MED3,1,0.723404255
35,-0.094722814,MED,MED3,1,0.744680851
36,0.028570155,MED,MED3,1,0.765957447
37,-0.012916139,MED,MED3,1,0.787234043
38,0.082779404,MED,MED3,1,0.808510638
39,0.011619261,MED,MED3,1,0.829787234
40,0.081845226,MED,MED3,1,0.85106383
41,0.13876221,MED,MED3,1,0.872340426
42,0.157176294,MED,MED3,1,0.893617021
43,0.184419999,MED,MED3,1,0.914893617
44,0.198758186,MED,MED3,1,0.936170213
