Frame,TailAngle,Condition,Fish ID,Trial
133,0.581143121,TRUN,TRUN12,3
134,0.567720802,TRUN,TRUN12,3
135,0.556329278,TRUN,TRUN12,3
136,0.529010151,TRUN,TRUN12,3
137,0.504127814,TRUN,TRUN12,3
138,0.397571734,TRUN,TRUN12,3
139,0.491958695,TRUN,TRUN12,3
140,0.478072332,TRUN,TRUN12,3
141,0.469345612,TRUN,TRUN12,3
142,0.46156456,TRUN,TRUN12,3
143,0.456011836,TRUN,TRUN12,3
144,0.433831809,TRUN,TRUN12,3
145,0.452963661,TRUN,TRUN12,3
146,0.452960414,TRUN,TRUN12,3
147,0.470241008,TRUN,TRUN12,3
148,0.471199792,TRUN,TRUN12,3
149,0.499152041,TRUN,TRUN12,3
150,0.506522152,TRUN,TRUN12,3
151,0.514616572,TRUN,TRUN12,3
152,0.532572614,TRUN,TRUN12,3
153,0.532572614,TRUN,TRUN12,3
1,0.005178104,TRUN,TRUN12,5
2,0.015012466,TRUN,TRUN12,5
3,0.017652576,TRUN,TRUN12,5
4,0.022335542,TRUN,TRUN12,5
5,0.027633157,TRUN,TRUN12,5
6,0.033915776,TRUN,TRUN12,5
7,0.03835894,TRUN,TRUN12,5
8,0.049519901,TRUN,TRUN12,5
9,0.058101822,TRUN,TRUN12,5
10,0.079549424,TRUN,TRUN12,5
11,0.089425636,TRUN,TRUN12,5
12,0.111051297,TRUN,TRUN12,5
13,0.128806099,TRUN,TRUN12,5
14,0.120191826,TRUN,TRUN12,5
15,0.144399918,TRUN,TRUN12,5
16,0.153191536,TRUN,TRUN12,5
17,-1.027408485,TRUN,TRUN12,5
18,-0.60260931,TRUN,TRUN12,5
19,0.211220357,TRUN,TRUN12,5
20,0.220114493,TRUN,TRUN12,5
21,-0.553201715,TRUN,TRUN12,5
22,-0.553711453,TRUN,TRUN12,5
23,0.296434201,TRUN,TRUN12,5
24,0.313996235,TRUN,TRUN12,5
25,0.340733962,TRUN,TRUN12,5
26,-0.961667385,TRUN,TRUN12,5
27,0.406626415,TRUN,TRUN12,5
28,0.46641118,TRUN,TRUN12,5
29,-0.46768349,TRUN,TRUN12,5
30,-0.39802645,TRUN,TRUN12,5
31,-0.390288007,TRUN,TRUN12,5
32,0.566710307,TRUN,TRUN12,5
33,0.629335059,TRUN,TRUN12,5
34,0.663619306,TRUN,TRUN12,5
35,-0.51305872,TRUN,TRUN12,5
36,0.680737317,TRUN,TRUN12,5
37,0.709917024,TRUN,TRUN12,5
38,0.738731592,TRUN,TRUN12,5
39,0.787341885,TRUN,TRUN12,5
40,0.812211207,TRUN,TRUN12,5
41,0.838300889,TRUN,TRUN12,5
42,0.86768794,TRUN,TRUN12,5
43,0.891128446,TRUN,TRUN12,5
44,0.912808356,TRUN,TRUN12,5
45,0.938030273,TRUN,TRUN12,5
46,0.959458311,TRUN,TRUN12,5
47,0.979035999,TRUN,TRUN12,5
48,0.998847168,TRUN,TRUN12,5
49,1.020757489,TRUN,TRUN12,5
50,1.046688918,TRUN,TRUN12,5
51,1.048535539,TRUN,TRUN12,5
52,1.079665026,TRUN,TRUN12,5
53,1.094782259,TRUN,TRUN12,5
54,1.120054849,TRUN,TRUN12,5
55,1.143004945,TRUN,TRUN12,5
56,1.165053883,TRUN,TRUN12,5
57,1.186896204,TRUN,TRUN12,5
58,1.1849505,TRUN,TRUN12,5
59,1.234875389,TRUN,TRUN12,5
60,1.245794383,TRUN,TRUN12,5
61,1.287930253,TRUN,TRUN12,5
62,1.347944761,TRUN,TRUN12,5
63,1.322518466,TRUN,TRUN12,5
64,1.345261199,TRUN,TRUN12,5
65,1.291947819,TRUN,TRUN12,5
66,1.305783725,TRUN,TRUN12,5
67,1.41704497,TRUN,TRUN12,5
68,1.410538618,TRUN,TRUN12,5
69,1.509920401,TRUN,TRUN12,5
70,1.552575507,TRUN,TRUN12,5
71,1.571508518,TRUN,TRUN12,5
72,1.625511791,TRUN,TRUN12,5
73,1.391513426,TRUN,TRUN12,5
74,1.676624938,TRUN,TRUN12,5
75,1.600054367,TRUN,TRUN12,5
76,1.427825028,TRUN,TRUN12,5
77,1.422581426,TRUN,TRUN12,5
78,1.377081947,TRUN,TRUN12,5
79,1.70466305,TRUN,TRUN12,5
80,1.384577216,TRUN,TRUN12,5
81,1.377037049,TRUN,TRUN12,5
82,1.354704992,TRUN,TRUN12,5
83,1.03558899,TRUN,TRUN12,5
84,1.306449959,TRUN,TRUN12,5
85,1.032096861,TRUN,TRUN12,5
86,1.006907957,TRUN,TRUN12,5
87,1.010220817,TRUN,TRUN12,5
88,1.078193619,TRUN,TRUN12,5
89,1.0047078,TRUN,TRUN12,5
90,0.997835749,TRUN,TRUN12,5
91,1.016313849,TRUN,TRUN12,5
92,1.14565315,TRUN,TRUN12,5
93,0.960000791,TRUN,TRUN12,5
94,1.030762488,TRUN,TRUN12,5
95,1.087140117,TRUN,TRUN12,5
96,1.069831873,TRUN,TRUN12,5
97,0.362625957,TRUN,TRUN12,5
98,1.005904112,TRUN,TRUN12,5
99,1.024073401,TRUN,TRUN12,5
100,0.849114492,TRUN,TRUN12,5
101,0.948980328,TRUN,TRUN12,5
102,0.934547918,TRUN,TRUN12,5
103,0.915716263,TRUN,TRUN12,5
104,0.895240596,TRUN,TRUN12,5
105,0.875630276,TRUN,TRUN12,5
106,0.860505635,TRUN,TRUN12,5
107,0.828018811,TRUN,TRUN12,5
108,0.794799014,TRUN,TRUN12,5
109,0.776032001,TRUN,TRUN12,5
110,0.745076939,TRUN,TRUN12,5
111,0.738667214,TRUN,TRUN12,5
112,0.610176983,TRUN,TRUN12,5
113,0.6926511,TRUN,TRUN12,5
114,0.681924113,TRUN,TRUN12,5
115,0.650796157,TRUN,TRUN12,5
116,0.666305002,TRUN,TRUN12,5
117,0.641810694,TRUN,TRUN12,5
118,0.602835751,TRUN,TRUN12,5
119,0.579216552,TRUN,TRUN12,5
120,0.569238692,TRUN,TRUN12,5
121,0.512615737,TRUN,TRUN12,5
122,0.530523377,TRUN,TRUN12,5
123,0.497493304,TRUN,TRUN12,5
124,0.482845554,TRUN,TRUN12,5
125,0.466445156,TRUN,TRUN12,5
126,0.472292613,TRUN,TRUN12,5
127,0.479858543,TRUN,TRUN12,5
128,0.474083986,TRUN,TRUN12,5
129,0.474978293,TRUN,TRUN12,5
130,0.452844035,TRUN,TRUN12,5
131,0.478990161,TRUN,TRUN12,5
132,0.478990161,TRUN,TRUN12,5
1,0.025804606,TRUN,TRUN12,6
2,0.028808131,TRUN,TRUN12,6
3,0.033327379,TRUN,TRUN12,6
4,0.035287021,TRUN,TRUN12,6
5,0.039401649,TRUN,TRUN12,6
6,0.035940277,TRUN,TRUN12,6
7,0.017236352,TRUN,TRUN12,6
8,0.01030717,TRUN,TRUN12,6
9,0.015364026,TRUN,TRUN12,6
10,0.020404509,TRUN,TRUN12,6
11,0.027628892,TRUN,TRUN12,6
12,0.04665602,TRUN,TRUN12,6
13,0.037469073,TRUN,TRUN12,6
14,0.039982481,TRUN,TRUN12,6
15,0.091478019,TRUN,TRUN12,6
16,0.07733943,TRUN,TRUN12,6
17,-0.766418926,TRUN,TRUN12,6
18,0.107020848,TRUN,TRUN12,6
19,0.13000128,TRUN,TRUN12,6
20,0.13020328,TRUN,TRUN12,6
21,0.150388881,TRUN,TRUN12,6
22,0.159745031,TRUN,TRUN12,6
23,0.191752599,TRUN,TRUN12,6
24,0.217054752,TRUN,TRUN12,6
25,0.241359072,TRUN,TRUN12,6
26,0.267340454,TRUN,TRUN12,6
27,0.259750796,TRUN,TRUN12,6
