Frame,TailAngle,Condition,Fish ID,Trial,Percentage
1,-0.188238134,MED,MED12,1,0.005952381
2,-0.194898413,MED,MED12,1,0.011904762
3,-0.203625838,MED,MED12,1,0.017857143
4,-0.218959627,MED,MED12,1,0.023809524
5,-0.226372404,MED,MED12,1,0.029761905
6,-0.240868392,MED,MED12,1,0.035714286
7,-0.248078884,MED,MED12,1,0.041666667
8,-0.250763861,MED,MED12,1,0.047619048
9,-0.261020277,MED,MED12,1,0.053571429
10,-0.274422963,MED,MED12,1,0.05952381
11,-0.289110054,MED,MED12,1,0.06547619
12,-0.310705134,MED,MED12,1,0.071428571
13,-0.308230595,MED,MED12,1,0.077380952
14,-0.311272262,MED,MED12,1,0.083333333
15,-0.313957937,MED,MED12,1,0.089285714
16,-0.328066762,MED,MED12,1,0.095238095
17,-0.35091977,MED,MED12,1,0.101190476
18,-0.357736268,MED,MED12,1,0.107142857
19,-0.338676356,MED,MED12,1,0.113095238
20,-0.348504466,MED,MED12,1,0.119047619
21,-0.378185475,MED,MED12,1,0.125
22,-0.389301245,MED,MED12,1,0.130952381
23,-0.378388626,MED,MED12,1,0.136904762
24,-0.399749656,MED,MED12,1,0.142857143
25,-0.387558162,MED,MED12,1,0.148809524
26,-0.394269452,MED,MED12,1,0.154761905
27,-0.397505282,MED,MED12,1,0.160714286
28,-0.40666576,MED,MED12,1,0.166666667
29,-0.410175999,MED,MED12,1,0.172619048
30,-0.437358513,MED,MED12,1,0.178571429
31,-0.423027408,MED,MED12,1,0.18452381
32,-0.456639343,MED,MED12,1,0.19047619
33,-0.46024261,MED,MED12,1,0.196428571
34,-0.434007321,MED,MED12,1,0.202380952
35,-0.436930635,MED,MED12,1,0.208333333
36,-0.444445524,MED,MED12,1,0.214285714
37,-0.466763506,MED,MED12,1,0.220238095
38,-0.452437703,MED,MED12,1,0.226190476
39,-0.460192988,MED,MED12,1,0.232142857
40,-0.444137041,MED,MED12,1,0.238095238
41,-0.463364108,MED,MED12,1,0.244047619
42,-0.470250106,MED,MED12,1,0.25
43,-0.478057946,MED,MED12,1,0.255952381
44,-0.47673647,MED,MED12,1,0.261904762
45,-0.465977764,MED,MED12,1,0.267857143
46,-0.443156052,MED,MED12,1,0.273809524
47,-0.459344005,MED,MED12,1,0.279761905
48,-0.472049446,MED,MED12,1,0.285714286
49,-0.479431028,MED,MED12,1,0.291666667
50,-0.47878675,MED,MED12,1,0.297619048
51,-0.455642121,MED,MED12,1,0.303571429
52,-0.47301933,MED,MED12,1,0.30952381
53,-0.473921431,MED,MED12,1,0.31547619
54,-0.47775609,MED,MED12,1,0.321428571
55,-0.478240699,MED,MED12,1,0.327380952
56,-0.464801101,MED,MED12,1,0.333333333
57,-0.459006964,MED,MED12,1,0.339285714
58,-0.453186407,MED,MED12,1,0.345238095
59,-0.43861112,MED,MED12,1,0.351190476
60,-0.452875185,MED,MED12,1,0.357142857
61,-0.449547058,MED,MED12,1,0.363095238
62,-0.439008756,MED,MED12,1,0.369047619
63,-0.419539936,MED,MED12,1,0.375
64,-0.4479639,MED,MED12,1,0.380952381
