Frame,TailAngle,Condition,Fish ID,Trial,Percentage
1,-0.217214203,TRUN,TRUN8,1,0.018867925
2,-0.216502977,TRUN,TRUN8,1,0.037735849
3,-0.222779322,TRUN,TRUN8,1,0.056603774
4,-0.217345057,TRUN,TRUN8,1,0.075471698
5,-0.217535897,TRUN,TRUN8,1,0.094339623
6,-0.217990437,TRUN,TRUN8,1,0.113207547
7,-0.231438475,TRUN,TRUN8,1,0.132075472
8,-0.248223183,TRUN,TRUN8,1,0.150943396
9,-0.287636154,TRUN,TRUN8,1,0.169811321
10,-0.324848755,TRUN,TRUN8,1,0.188679245
11,-0.223822213,TRUN,TRUN8,1,0.20754717
12,-0.475982117,TRUN,TRUN8,1,0.226415094
13,-0.498243138,TRUN,TRUN8,1,0.245283019
14,-0.605773799,TRUN,TRUN8,1,0.264150943
15,-0.725499018,TRUN,TRUN8,1,0.283018868
16,-0.72367373,TRUN,TRUN8,1,0.301886792
17,-0.871165373,TRUN,TRUN8,1,0.320754717
18,-0.935619691,TRUN,TRUN8,1,0.339622642
19,-1.053184153,TRUN,TRUN8,1,0.358490566
20,-1.114953422,TRUN,TRUN8,1,0.377358491
21,-1.096518835,TRUN,TRUN8,1,0.396226415
22,-1.160044804,TRUN,TRUN8,1,0.41509434
23,-1.356086574,TRUN,TRUN8,1,0.433962264
24,-1.359100135,TRUN,TRUN8,1,0.452830189
25,-1.512502363,TRUN,TRUN8,1,0.471698113
26,-1.808823183,TRUN,TRUN8,1,0.490566038
27,-1.931558256,TRUN,TRUN8,1,0.509433962
28,-1.830343416,TRUN,TRUN8,1,0.528301887
29,-1.38974853,TRUN,TRUN8,1,0.547169811
30,-1.258351225,TRUN,TRUN8,1,0.566037736
31,-1.351373138,TRUN,TRUN8,1,0.58490566
32,-1.150884997,TRUN,TRUN8,1,0.603773585
33,-1.158341374,TRUN,TRUN8,1,0.622641509
34,-1.11032158,TRUN,TRUN8,1,0.641509434
35,-1.019352475,TRUN,TRUN8,1,0.660377358
36,-0.927200745,TRUN,TRUN8,1,0.679245283
37,-0.822328473,TRUN,TRUN8,1,0.698113208
38,-0.839592702,TRUN,TRUN8,1,0.716981132
39,-0.804608173,TRUN,TRUN8,1,0.735849057
40,-0.819267939,TRUN,TRUN8,1,0.754716981
41,-0.716782847,TRUN,TRUN8,1,0.773584906
42,-0.713070296,TRUN,TRUN8,1,0.79245283
43,-0.666390701,TRUN,TRUN8,1,0.811320755
44,-0.630407764,TRUN,TRUN8,1,0.830188679
45,-0.605918303,TRUN,TRUN8,1,0.849056604
46,-0.583437667,TRUN,TRUN8,1,0.867924528
47,-0.536845239,TRUN,TRUN8,1,0.886792453
48,-0.546841806,TRUN,TRUN8,1,0.905660377
49,-0.53090688,TRUN,TRUN8,1,0.924528302
50,-0.520093496,TRUN,TRUN8,1,0.943396226
51,-0.522968839,TRUN,TRUN8,1,0.962264151
52,-0.499071901,TRUN,TRUN8,1,0.981132075
53,-0.499071901,TRUN,TRUN8,1,1
1,0.211531894,TRUN,TRUN8,2,0.024390244
2,0.326290162,TRUN,TRUN8,2,0.048780488
3,0.395358694,TRUN,TRUN8,2,0.073170732
4,0.350873349,TRUN,TRUN8,2,0.097560976
5,0.439063319,TRUN,TRUN8,2,0.12195122
6,0.528837605,TRUN,TRUN8,2,0.146341463
7,0.652898635,TRUN,TRUN8,2,0.170731707
8,0.793352831,TRUN,TRUN8,2,0.195121951
9,0.898028454,TRUN,TRUN8,2,0.219512195
10,0.962202833,TRUN,TRUN8,2,0.243902439
11,1.024183302,TRUN,TRUN8,2,0.268292683
12,1.057554492,TRUN,TRUN8,2,0.292682927
13,1.057121399,TRUN,TRUN8,2,0.317073171
14,1.014620912,TRUN,TRUN8,2,0.341463415
15,0.857913839,TRUN,TRUN8,2,0.365853659
16,0.774336119,TRUN,TRUN8,2,0.390243902
17,0.058245553,TRUN,TRUN8,2,0.414634146
18,0.077447483,TRUN,TRUN8,2,0.43902439
19,0.435807358,TRUN,TRUN8,2,0.463414634
20,0.398473462,TRUN,TRUN8,2,0.487804878
21,0.346966495,TRUN,TRUN8,2,0.512195122
22,0.317467654,TRUN,TRUN8,2,0.536585366
23,0.285978764,TRUN,TRUN8,2,0.56097561
24,0.051663602,TRUN,TRUN8,2,0.585365854
25,0.173827104,TRUN,TRUN8,2,0.609756098
26,-0.295733801,TRUN,TRUN8,2,0.634146341
27,-0.352821447,TRUN,TRUN8,2,0.658536585
28,-0.547435041,TRUN,TRUN8,2,0.682926829
29,-0.605208362,TRUN,TRUN8,2,0.707317073
30,-0.664888151,TRUN,TRUN8,2,0.731707317
31,-0.5603756,TRUN,TRUN8,2,0.756097561
32,-0.480362744,TRUN,TRUN8,2,0.780487805
33,-0.717396996,TRUN,TRUN8,2,0.804878049
34,-0.756109263,TRUN,TRUN8,2,0.829268293
35,-0.426479594,TRUN,TRUN8,2,0.853658537
36,-0.439905182,TRUN,TRUN8,2,0.87804878
37,-0.46654595,TRUN,TRUN8,2,0.902439024
38,-0.426500426,TRUN,TRUN8,2,0.926829268
39,-0.407635822,TRUN,TRUN8,2,0.951219512
40,-0.409967134,TRUN,TRUN8,2,0.975609756
41,-0.409967134,TRUN,TRUN8,2,1
1,0.045091734,TRUN,TRUN8,3,0.014705882
2,0.133827108,TRUN,TRUN8,3,0.029411765
3,0.279172083,TRUN,TRUN8,3,0.044117647
4,0.38502178,TRUN,TRUN8,3,0.058823529
5,0.596118088,TRUN,TRUN8,3,0.073529412
6,0.780891155,TRUN,TRUN8,3,0.088235294
7,0.874751726,TRUN,TRUN8,3,0.102941176
8,0.96529726,TRUN,TRUN8,3,0.117647059
9,1.072939016,TRUN,TRUN8,3,0.132352941
10,1.136585079,TRUN,TRUN8,3,0.147058824
11,1.21403057,TRUN,TRUN8,3,0.161764706
12,1.293485118,TRUN,TRUN8,3,0.176470588
13,1.271806322,TRUN,TRUN8,3,0.191176471
14,1.266169316,TRUN,TRUN8,3,0.205882353
15,1.232859728,TRUN,TRUN8,3,0.220588235
16,1.187330171,TRUN,TRUN8,3,0.235294118
17,1.237551043,TRUN,TRUN8,3,0.25
18,0.961405271,TRUN,TRUN8,3,0.264705882
19,1.049045037,TRUN,TRUN8,3,0.279411765
20,1.00350237,TRUN,TRUN8,3,0.294117647
21,0.963402889,TRUN,TRUN8,3,0.308823529
22,0.897961665,TRUN,TRUN8,3,0.323529412
23,0.882983611,TRUN,TRUN8,3,0.338235294
24,0.829355057,TRUN,TRUN8,3,0.352941176
25,0.796911784,TRUN,TRUN8,3,0.367647059
26,0.53476574,TRUN,TRUN8,3,0.382352941
27,0.696793171,TRUN,TRUN8,3,0.397058824
28,0.537214695,TRUN,TRUN8,3,0.411764706
29,0.685497614,TRUN,TRUN8,3,0.426470588
30,0.276564627,TRUN,TRUN8,3,0.441176471
31,0.291423453,TRUN,TRUN8,3,0.455882353
32,0.757396776,TRUN,TRUN8,3,0.470588235
33,0.557355819,TRUN,TRUN8,3,0.485294118
34,0.775745572,TRUN,TRUN8,3,0.5
35,0.792318157,TRUN,TRUN8,3,0.514705882
36,0.501170249,TRUN,TRUN8,3,0.529411765
