Frame,TailAngle,Condition,Fish ID,Trial,Percentage,Duration
116,1.066128485,MED,MED1,1,0.555023923,
117,1.068554495,MED,MED1,1,0.559808612,
118,1.017480861,MED,MED1,1,0.564593301,
119,1.032317199,MED,MED1,1,0.56937799,
120,1.004217885,MED,MED1,1,0.574162679,
121,0.987526061,MED,MED1,1,0.578947368,
122,1.003803778,MED,MED1,1,0.583732057,
123,1.007005861,MED,MED1,1,0.588516746,
124,1.005107878,MED,MED1,1,0.593301435,
125,1.000034022,MED,MED1,1,0.598086124,
126,0.945221116,MED,MED1,1,0.602870813,
127,0.957951195,MED,MED1,1,0.607655502,
128,0.941555562,MED,MED1,1,0.612440191,
129,0.973070911,MED,MED1,1,0.61722488,
130,0.975270042,MED,MED1,1,0.622009569,
131,0.968748214,MED,MED1,1,0.626794258,
132,0.965709945,MED,MED1,1,0.631578947,
133,0.96699582,MED,MED1,1,0.636363636,
134,0.950950012,MED,MED1,1,0.641148325,
135,0.90970889,MED,MED1,1,0.645933014,
136,0.930987129,MED,MED1,1,0.650717703,
137,0.928120147,MED,MED1,1,0.655502392,
138,0.921396321,MED,MED1,1,0.660287081,
139,0.947899352,MED,MED1,1,0.66507177,
140,0.900425208,MED,MED1,1,0.669856459,
141,0.917791496,MED,MED1,1,0.674641148,
142,0.918495135,MED,MED1,1,0.679425837,
143,0.934758063,MED,MED1,1,0.684210526,
144,0.918956055,MED,MED1,1,0.688995215,
145,0.899243339,MED,MED1,1,0.693779904,
146,0.891168829,MED,MED1,1,0.698564593,
147,0.891488319,MED,MED1,1,0.703349282,
148,0.893036644,MED,MED1,1,0.708133971,
149,0.850057076,MED,MED1,1,0.71291866,
150,0.86658244,MED,MED1,1,0.717703349,
151,0.834504431,MED,MED1,1,0.722488038,
152,0.839572926,MED,MED1,1,0.727272727,
153,0.836755292,MED,MED1,1,0.732057416,
154,0.787622366,MED,MED1,1,0.736842105,
155,0.842933749,MED,MED1,1,0.741626794,
156,0.642912497,MED,MED1,1,0.746411483,
157,0.830194464,MED,MED1,1,0.751196172,
158,0.768180921,MED,MED1,1,0.755980861,
159,0.773653877,MED,MED1,1,0.76076555,
160,0.782080704,MED,MED1,1,0.765550239,
161,0.761677956,MED,MED1,1,0.770334928,
162,0.759447163,MED,MED1,1,0.775119617,
163,0.57923053,MED,MED1,1,0.779904306,
164,0.566964003,MED,MED1,1,0.784688995,
165,0.537454412,MED,MED1,1,0.789473684,
166,0.379155703,MED,MED1,1,0.794258373,
167,0.510069949,MED,MED1,1,0.799043062,
168,0.390754124,MED,MED1,1,0.803827751,
169,0.676820923,MED,MED1,1,0.80861244,
170,0.676800191,MED,MED1,1,0.813397129,
171,0.678753474,MED,MED1,1,0.818181818,
172,0.654667459,MED,MED1,1,0.822966507,
173,0.636906703,MED,MED1,1,0.827751196,
174,0.641213356,MED,MED1,1,0.832535885,
175,0.655084419,MED,MED1,1,0.837320574,
176,0.620782634,MED,MED1,1,0.842105263,
177,0.617262511,MED,MED1,1,0.846889952,
178,0.580874187,MED,MED1,1,0.851674641,
179,0.574527959,MED,MED1,1,0.85645933,
180,0.569409479,MED,MED1,1,0.861244019,
181,0.56308793,MED,MED1,1,0.866028708,
182,0.548047961,MED,MED1,1,0.870813397,
183,0.548651354,MED,MED1,1,0.875598086,
184,0.543941256,MED,MED1,1,0.880382775,
185,0.525255314,MED,MED1,1,0.885167464,
186,0.51795478,MED,MED1,1,0.889952153,
187,0.534001273,MED,MED1,1,0.894736842,
188,0.511413528,MED,MED1,1,0.899521531,
189,0.375450264,MED,MED1,1,0.90430622,
190,0.510516588,MED,MED1,1,0.909090909,
191,0.401926666,MED,MED1,1,0.913875598,
192,0.354748893,MED,MED1,1,0.918660287,
193,0.323859874,MED,MED1,1,0.923444976,
194,0.491764279,MED,MED1,1,0.928229665,
195,0.470478141,MED,MED1,1,0.933014354,
196,0.494564345,MED,MED1,1,0.937799043,
197,0.4835379,MED,MED1,1,0.942583732,
198,0.493929936,MED,MED1,1,0.947368421,
199,0.497872294,MED,MED1,1,0.95215311,
200,0.49627474,MED,MED1,1,0.956937799,
201,0.487938566,MED,MED1,1,0.961722488,
202,0.499487408,MED,MED1,1,0.966507177,
203,0.468306356,MED,MED1,1,0.971291866,
204,0.485473865,MED,MED1,1,0.976076555,
205,0.490327809,MED,MED1,1,0.980861244,
206,0.486279459,MED,MED1,1,0.985645933,
207,0.486901043,MED,MED1,1,0.990430622,
208,0.466202743,MED,MED1,1,0.995215311,
209,0.466202743,MED,MED1,1,1,
1,-0.065456868,MED,MED1,2,0.006756757,
2,-0.069018965,MED,MED1,2,0.013513514,
3,-0.069014332,MED,MED1,2,0.02027027,
4,-0.053732348,MED,MED1,2,0.027027027,
5,-0.049024836,MED,MED1,2,0.033783784,
6,-0.05949836,MED,MED1,2,0.040540541,
7,-0.065706461,MED,MED1,2,0.047297297,
8,-0.074101583,MED,MED1,2,0.054054054,
9,-0.065235908,MED,MED1,2,0.060810811,
10,-0.059671905,MED,MED1,2,0.067567568,
11,-0.050463311,MED,MED1,2,0.074324324,
12,-0.052183951,MED,MED1,2,0.081081081,
13,-0.062511376,MED,MED1,2,0.087837838,
14,-0.067616264,MED,MED1,2,0.094594595,
15,-0.04534994,MED,MED1,2,0.101351351,
16,-0.050251548,MED,MED1,2,0.108108108,
17,-0.04274704,MED,MED1,2,0.114864865,
18,-0.050104221,MED,MED1,2,0.121621622,
19,-0.039088016,MED,MED1,2,0.128378378,
20,-0.025371451,MED,MED1,2,0.135135135,
21,-0.011780349,MED,MED1,2,0.141891892,
22,-0.009307344,MED,MED1,2,0.148648649,
23,0.007023467,MED,MED1,2,0.155405405,
24,0.048312285,MED,MED1,2,0.162162162,
25,0.0603017,MED,MED1,2,0.168918919,
26,0.093835741,MED,MED1,2,0.175675676,
27,0.13256629,MED,MED1,2,0.182432432,
28,0.166931285,MED,MED1,2,0.189189189,
29,0.193453778,MED,MED1,2,0.195945946,
30,0.185613147,MED,MED1,2,0.202702703,
31,0.25666761,MED,MED1,2,0.209459459,
32,0.293113268,MED,MED1,2,0.216216216,
33,0.310409539,MED,MED1,2,0.222972973,
34,0.351757276,MED,MED1,2,0.22972973,
35,0.408343327,MED,MED1,2,0.236486486,
36,0.437153551,MED,MED1,2,0.243243243,
37,0.459254736,MED,MED1,2,0.25,
38,0.490761891,MED,MED1,2,0.256756757,
39,0.511634427,MED,MED1,2,0.263513514,
40,0.530217426,MED,MED1,2,0.27027027,
41,0.584017129,MED,MED1,2,0.277027027,
42,0.5990813,MED,MED1,2,0.283783784,
43,0.622072113,MED,MED1,2,0.290540541,
44,0.658229403,MED,MED1,2,0.297297297,
45,0.68750716,MED,MED1,2,0.304054054,
46,0.731051751,MED,MED1,2,0.310810811,
47,0.751521371,MED,MED1,2,0.317567568,
48,0.786882162,MED,MED1,2,0.324324324,
49,0.801859447,MED,MED1,2,0.331081081,
50,0.843419216,MED,MED1,2,0.337837838,
51,0.864619081,MED,MED1,2,0.344594595,
52,0.888034226,MED,MED1,2,0.351351351,
53,0.925363209,MED,MED1,2,0.358108108,
54,0.946998188,MED,MED1,2,0.364864865,
55,0.99327021,MED,MED1,2,0.371621622,
56,1.007663604,MED,MED1,2,0.378378378,
57,1.016291421,MED,MED1,2,0.385135135,
58,1.02902187,MED,MED1,2,0.391891892,
59,1.065025202,MED,MED1,2,0.398648649,
60,1.081396602,MED,MED1,2,0.405405405,
61,1.100538732,MED,MED1,2,0.412162162,
62,1.138718424,MED,MED1,2,0.418918919,
63,1.129733313,MED,MED1,2,0.425675676,
64,1.147850601,MED,MED1,2,0.432432432,
65,1.171480316,MED,MED1,2,0.439189189,
66,1.202250104,MED,MED1,2,0.445945946,
67,1.233209703,MED,MED1,2,0.452702703,
68,1.06069045,MED,MED1,2,0.459459459,
69,1.228361034,MED,MED1,2,0.466216216,
70,1.055525386,MED,MED1,2,0.472972973,
71,1.098495132,MED,MED1,2,0.47972973,
72,1.020087757,MED,MED1,2,0.486486486,
73,1.027400741,MED,MED1,2,0.493243243,
74,1.035086852,MED,MED1,2,0.5,
75,1.041354708,MED,MED1,2,0.506756757,
76,1.068982202,MED,MED1,2,0.513513514,
77,1.100941557,MED,MED1,2,0.52027027,
78,1.086438574,MED,MED1,2,0.527027027,
79,1.062346187,MED,MED1,2,0.533783784,
80,1.0578689,MED,MED1,2,0.540540541,
81,1.041532212,MED,MED1,2,0.547297297,
82,1.04715692,MED,MED1,2,0.554054054,
83,1.035533485,MED,MED1,2,0.560810811,
84,1.013563877,MED,MED1,2,0.567567568,
85,1.023100586,MED,MED1,2,0.574324324,
86,1.038058832,MED,MED1,2,0.581081081,
87,1.055286353,MED,MED1,2,0.587837838,
88,1.055146239,MED,MED1,2,0.594594595,
89,1.033178314,MED,MED1,2,0.601351351,
90,1.051020065,MED,MED1,2,0.608108108,
91,1.057148386,MED,MED1,2,0.614864865,
92,1.094578065,MED,MED1,2,0.621621622,
93,1.090299778,MED,MED1,2,0.628378378,
94,1.134112503,MED,MED1,2,0.635135135,
95,1.088307183,MED,MED1,2,0.641891892,
96,1.118476945,MED,MED1,2,0.648648649,
97,1.094284277,MED,MED1,2,0.655405405,
98,1.111559337,MED,MED1,2,0.662162162,
99,1.124940243,MED,MED1,2,0.668918919,
100,1.062176562,MED,MED1,2,0.675675676,
101,1.076017305,MED,MED1,2,0.682432432,
102,1.062501003,MED,MED1,2,0.689189189,
103,1.006562664,MED,MED1,2,0.695945946,
104,1.025226844,MED,MED1,2,0.702702703,
105,1.025260016,MED,MED1,2,0.709459459,
106,0.956238723,MED,MED1,2,0.716216216,
107,0.972401572,MED,MED1,2,0.722972973,
108,0.942498342,MED,MED1,2,0.72972973,
109,0.950063423,MED,MED1,2,0.736486486,
110,0.91225649,MED,MED1,2,0.743243243,
111,0.910450334,MED,MED1,2,0.75,
112,0.90064702,MED,MED1,2,0.756756757,
113,0.854716717,MED,MED1,2,0.763513514,
