Frame,TailAngle,Condition,Fish ID,Trial,Percentage
1,0.151890923,WT,WT10,1,0.004784689
2,0.19432409,WT,WT10,1,0.009569378
3,0.287452982,WT,WT10,1,0.014354067
4,0.280771928,WT,WT10,1,0.019138756
5,0.232836774,WT,WT10,1,0.023923445
6,0.233934406,WT,WT10,1,0.028708134
7,0.230251841,WT,WT10,1,0.033492823
8,0.209591365,WT,WT10,1,0.038277512
9,0.215843328,WT,WT10,1,0.043062201
10,0.22164615,WT,WT10,1,0.04784689
11,0.205594858,WT,WT10,1,0.052631579
12,0.206854761,WT,WT10,1,0.057416268
13,0.188126345,WT,WT10,1,0.062200957
14,0.176231241,WT,WT10,1,0.066985646
15,0.156787331,WT,WT10,1,0.071770335
16,0.158276848,WT,WT10,1,0.076555024
17,0.155663014,WT,WT10,1,0.081339713
18,0.124124905,WT,WT10,1,0.086124402
19,0.112528624,WT,WT10,1,0.090909091
20,0.099118661,WT,WT10,1,0.09569378
21,0.073926283,WT,WT10,1,0.100478469
22,0.063142293,WT,WT10,1,0.105263158
23,0.051632371,WT,WT10,1,0.110047847
24,0.032151728,WT,WT10,1,0.114832536
25,0.02265864,WT,WT10,1,0.119617225
26,0.004024755,WT,WT10,1,0.124401914
27,-0.005655449,WT,WT10,1,0.129186603
28,-0.029373673,WT,WT10,1,0.133971292
29,-0.032777662,WT,WT10,1,0.138755981
30,-0.050263225,WT,WT10,1,0.14354067
31,-0.077102437,WT,WT10,1,0.148325359
32,-0.090809174,WT,WT10,1,0.153110048
33,-0.09665755,WT,WT10,1,0.157894737
34,-0.096246979,WT,WT10,1,0.162679426
35,-0.097356946,WT,WT10,1,0.167464115
36,-0.093069264,WT,WT10,1,0.172248804
37,-0.128290656,WT,WT10,1,0.177033493
38,-0.156006077,WT,WT10,1,0.181818182
39,-0.174418509,WT,WT10,1,0.186602871
40,-0.18936157,WT,WT10,1,0.19138756
41,-0.19736768,WT,WT10,1,0.196172249
42,-0.243810451,WT,WT10,1,0.200956938
43,-0.263733256,WT,WT10,1,0.205741627
44,-0.276393745,WT,WT10,1,0.210526316
45,-0.295349333,WT,WT10,1,0.215311005
46,-0.317000431,WT,WT10,1,0.220095694
47,-0.357120412,WT,WT10,1,0.224880383
48,-0.399932625,WT,WT10,1,0.229665072
49,-0.414008682,WT,WT10,1,0.234449761
50,-0.45065722,WT,WT10,1,0.23923445
51,-0.45516227,WT,WT10,1,0.244019139
52,-0.479402024,WT,WT10,1,0.248803828
53,-0.503997101,WT,WT10,1,0.253588517
54,-0.524439378,WT,WT10,1,0.258373206
55,-0.542461532,WT,WT10,1,0.263157895
56,-0.625542249,WT,WT10,1,0.267942584
57,-0.586917634,WT,WT10,1,0.272727273
58,-0.670942537,WT,WT10,1,0.277511962
59,-0.627188935,WT,WT10,1,0.282296651
60,-0.644750896,WT,WT10,1,0.28708134
61,-0.742402113,WT,WT10,1,0.291866029
62,-0.695495152,WT,WT10,1,0.296650718
63,-0.769280925,WT,WT10,1,0.301435407
64,-0.805119738,WT,WT10,1,0.306220096
65,-0.750900949,WT,WT10,1,0.311004785
66,-0.826544444,WT,WT10,1,0.315789474
67,-0.847373738,WT,WT10,1,0.320574163
68,-0.857113036,WT,WT10,1,0.325358852
69,-0.882418093,WT,WT10,1,0.330143541
70,-0.819252359,WT,WT10,1,0.33492823
71,-0.856807209,WT,WT10,1,0.339712919
72,-0.900503719,WT,WT10,1,0.344497608
73,-0.978089725,WT,WT10,1,0.349282297
74,-0.956898654,WT,WT10,1,0.354066986
75,-1.023519987,WT,WT10,1,0.358851675
76,-1.090297742,WT,WT10,1,0.363636364
77,-1.10485824,WT,WT10,1,0.368421053
78,-1.145355375,WT,WT10,1,0.373205742
79,-1.140182925,WT,WT10,1,0.377990431
