Frame,TailAngle,Condition,Fish ID,Trial,Percentage
1,-0.351185922,WT,WT11,1,0.005405405
2,-0.346433972,WT,WT11,1,0.010810811
3,-0.34689818,WT,WT11,1,0.016216216
4,-0.348728498,WT,WT11,1,0.021621622
5,-0.351508708,WT,WT11,1,0.027027027
6,-0.350330613,WT,WT11,1,0.032432432
7,-0.365523289,WT,WT11,1,0.037837838
8,-0.373956867,WT,WT11,1,0.043243243
9,-0.377074841,WT,WT11,1,0.048648649
10,-0.387175671,WT,WT11,1,0.054054054
11,-0.389712113,WT,WT11,1,0.059459459
12,-0.395991241,WT,WT11,1,0.064864865
13,-0.404920631,WT,WT11,1,0.07027027
14,-0.421179864,WT,WT11,1,0.075675676
15,-0.431249772,WT,WT11,1,0.081081081
16,-0.455290949,WT,WT11,1,0.086486486
17,-0.483387377,WT,WT11,1,0.091891892
18,-0.469853181,WT,WT11,1,0.097297297
19,-0.471430708,WT,WT11,1,0.102702703
20,-0.533943448,WT,WT11,1,0.108108108
21,-0.536401835,WT,WT11,1,0.113513514
22,-0.529432721,WT,WT11,1,0.118918919
23,-0.60479811,WT,WT11,1,0.124324324
24,-0.62524844,WT,WT11,1,0.12972973
25,-0.632677185,WT,WT11,1,0.135135135
26,-0.69947825,WT,WT11,1,0.140540541
27,-0.688718225,WT,WT11,1,0.145945946
28,-0.692884938,WT,WT11,1,0.151351351
29,-0.706403848,WT,WT11,1,0.156756757
30,-0.732327244,WT,WT11,1,0.162162162
31,-0.800380348,WT,WT11,1,0.167567568
32,-0.809195606,WT,WT11,1,0.172972973
33,-0.864581217,WT,WT11,1,0.178378378
34,-0.89380116,WT,WT11,1,0.183783784
35,-0.90752459,WT,WT11,1,0.189189189
36,-0.935025734,WT,WT11,1,0.194594595
37,-0.963214226,WT,WT11,1,0.2
38,-1.004248027,WT,WT11,1,0.205405405
39,-1.097854305,WT,WT11,1,0.210810811
40,-1.05655952,WT,WT11,1,0.216216216
41,-1.093055562,WT,WT11,1,0.221621622
42,-1.123905075,WT,WT11,1,0.227027027
43,-1.142120799,WT,WT11,1,0.232432432
44,-1.172768301,WT,WT11,1,0.237837838
45,-1.202701148,WT,WT11,1,0.243243243
46,-1.220769676,WT,WT11,1,0.248648649
47,-1.249114961,WT,WT11,1,0.254054054
48,-1.270677419,WT,WT11,1,0.259459459
49,-1.299264385,WT,WT11,1,0.264864865
50,-1.333238859,WT,WT11,1,0.27027027
51,-1.352722946,WT,WT11,1,0.275675676
52,-1.37982288,WT,WT11,1,0.281081081
53,-1.38845967,WT,WT11,1,0.286486486
54,-1.411928357,WT,WT11,1,0.291891892
55,-1.418275894,WT,WT11,1,0.297297297
56,-1.444832927,WT,WT11,1,0.302702703
57,-1.458274973,WT,WT11,1,0.308108108
58,-1.469261666,WT,WT11,1,0.313513514
59,-1.483839701,WT,WT11,1,0.318918919
60,-1.502945416,WT,WT11,1,0.324324324
61,-1.490067472,WT,WT11,1,0.32972973
62,-1.509946276,WT,WT11,1,0.335135135
63,-1.529309107,WT,WT11,1,0.340540541
64,-1.529525017,WT,WT11,1,0.345945946
65,-1.515520473,WT,WT11,1,0.351351351
66,-1.490705163,WT,WT11,1,0.356756757
67,-1.486164296,WT,WT11,1,0.362162162
68,-1.549186437,WT,WT11,1,0.367567568
69,-1.511278969,WT,WT11,1,0.372972973
70,-1.544530888,WT,WT11,1,0.378378378
71,-1.528365482,WT,WT11,1,0.383783784
72,-1.582652714,WT,WT11,1,0.389189189
73,-1.57017949,WT,WT11,1,0.394594595
74,-1.554026467,WT,WT11,1,0.4
75,-1.582032868,WT,WT11,1,0.405405405
76,-1.588135672,WT,WT11,1,0.410810811
77,-1.657515836,WT,WT11,1,0.416216216
78,-1.660421305,WT,WT11,1,0.421621622
79,-1.597773114,WT,WT11,1,0.427027027
80,-1.702331875,WT,WT11,1,0.432432432
81,-1.733314459,WT,WT11,1,0.437837838
82,-1.789695332,WT,WT11,1,0.443243243
83,-1.811615396,WT,WT11,1,0.448648649
84,-1.811108467,WT,WT11,1,0.454054054
85,-1.812328074,WT,WT11,1,0.459459459
86,-1.764280595,WT,WT11,1,0.464864865
87,-1.470254391,WT,WT11,1,0.47027027
88,-1.669887757,WT,WT11,1,0.475675676
89,-1.644065841,WT,WT11,1,0.481081081
90,-1.639598701,WT,WT11,1,0.486486486
91,-1.558772614,WT,WT11,1,0.491891892
92,-1.545343635,WT,WT11,1,0.497297297
93,-1.469241522,WT,WT11,1,0.502702703
94,-1.360277463,WT,WT11,1,0.508108108
95,-1.450271138,WT,WT11,1,0.513513514
96,-1.280621333,WT,WT11,1,0.518918919
97,-1.255380341,WT,WT11,1,0.524324324
98,-1.250145961,WT,WT11,1,0.52972973
99,-1.183340467,WT,WT11,1,0.535135135
100,-1.185615318,WT,WT11,1,0.540540541
101,-1.12751228,WT,WT11,1,0.545945946
102,-1.153571349,WT,WT11,1,0.551351351
103,-1.118471717,WT,WT11,1,0.556756757
104,-1.098682128,WT,WT11,1,0.562162162
105,-1.117066595,WT,WT11,1,0.567567568
106,-1.103639564,WT,WT11,1,0.572972973
107,-1.065869542,WT,WT11,1,0.578378378
108,-1.0469655,WT,WT11,1,0.583783784
109,-1.039427555,WT,WT11,1,0.589189189
110,-1.037784137,WT,WT11,1,0.594594595
111,-0.954557405,WT,WT11,1,0.6
112,-1.038845051,WT,WT11,1,0.605405405
113,-0.982633843,WT,WT11,1,0.610810811
114,-0.942314587,WT,WT11,1,0.616216216
115,-0.915658564,WT,WT11,1,0.621621622
116,-0.930813869,WT,WT11,1,0.627027027
117,-0.868010506,WT,WT11,1,0.632432432
118,-0.904749939,WT,WT11,1,0.637837838
119,-0.793700094,WT,WT11,1,0.643243243
120,-0.784944035,WT,WT11,1,0.648648649
121,-0.84902778,WT,WT11,1,0.654054054
122,-0.773619829,WT,WT11,1,0.659459459
123,-0.775281223,WT,WT11,1,0.664864865
124,-0.749020838,WT,WT11,1,0.67027027
125,-0.699343639,WT,WT11,1,0.675675676
126,-0.680660826,WT,WT11,1,0.681081081
127,-0.671084878,WT,WT11,1,0.686486486
128,-0.652828191,WT,WT11,1,0.691891892
129,-0.631889309,WT,WT11,1,0.697297297
130,-0.624966845,WT,WT11,1,0.702702703
131,-0.620176201,WT,WT11,1,0.708108108
132,-0.590909995,WT,WT11,1,0.713513514
133,-0.557645814,WT,WT11,1,0.718918919
134,-0.572965588,WT,WT11,1,0.724324324
135,-0.525677494,WT,WT11,1,0.72972973
136,-0.513879374,WT,WT11,1,0.735135135
137,-0.485894283,WT,WT11,1,0.740540541
138,-0.480244553,WT,WT11,1,0.745945946
139,-0.455991875,WT,WT11,1,0.751351351
140,-0.476778802,WT,WT11,1,0.756756757
141,-0.450889799,WT,WT11,1,0.762162162
142,-0.433168065,WT,WT11,1,0.767567568
143,-0.409065724,WT,WT11,1,0.772972973
144,-0.386019404,WT,WT11,1,0.778378378
145,-0.369609235,WT,WT11,1,0.783783784
146,-0.362088639,WT,WT11,1,0.789189189
147,-0.33684705,WT,WT11,1,0.794594595
148,-0.332797273,WT,WT11,1,0.8
149,-0.315483646,WT,WT11,1,0.805405405
150,-0.301661578,WT,WT11,1,0.810810811
151,-0.317950512,WT,WT11,1,0.816216216
152,-0.287402346,WT,WT11,1,0.821621622
153,-0.275598661,WT,WT11,1,0.827027027
154,-0.268213784,WT,WT11,1,0.832432432
155,-0.250106965,WT,WT11,1,0.837837838
156,-0.235757897,WT,WT11,1,0.843243243
157,-0.224513041,WT,WT11,1,0.848648649
158,-0.217956176,WT,WT11,1,0.854054054
159,-0.206426574,WT,WT11,1,0.859459459
160,-0.206284485,WT,WT11,1,0.864864865
161,-0.193390694,WT,WT11,1,0.87027027
162,-0.185753383,WT,WT11,1,0.875675676
163,-0.165064909,WT,WT11,1,0.881081081
164,-0.161254046,WT,WT11,1,0.886486486
165,-0.151801568,WT,WT11,1,0.891891892
166,-0.153149232,WT,WT11,1,0.897297297
167,-0.135139972,WT,WT11,1,0.902702703
168,-0.056378747,WT,WT11,1,0.908108108
169,-0.110524744,WT,WT11,1,0.913513514
170,-0.027605251,WT,WT11,1,0.918918919
171,-0.088765819,WT,WT11,1,0.924324324
172,-0.048823174,WT,WT11,1,0.92972973
173,0.10352235,WT,WT11,1,0.935135135
174,0.10369608,WT,WT11,1,0.940540541
175,0.100768502,WT,WT11,1,0.945945946
176,0.112869359,WT,WT11,1,0.951351351
177,0.117385775,WT,WT11,1,0.956756757
178,0.127782033,WT,WT11,1,0.962162162
179,0.115659777,WT,WT11,1,0.967567568
180,-1.298208778,WT,WT11,1,0.972972973
181,0.057712512,WT,WT11,1,0.978378378
182,0.049044395,WT,WT11,1,0.983783784
183,0.049338065,WT,WT11,1,0.989189189
184,0.050511476,WT,WT11,1,0.994594595
185,0.050511476,WT,WT11,1,1
1,0.012449937,WT,WT11,2,0.035714286
2,-0.152483405,WT,WT11,2,0.071428571
