Frame,TailAngle,Condition,Fish ID,Trial,Percentage
1,0.112704247,WT,WT5,1,0.010638298
2,0.111800905,WT,WT5,1,0.021276596
3,0.114557828,WT,WT5,1,0.031914894
4,0.114557828,WT,WT5,1,0.042553191
5,0.124288672,WT,WT5,1,0.053191489
6,0.105602311,WT,WT5,1,0.063829787
7,0.117066383,WT,WT5,1,0.074468085
8,0.064698249,WT,WT5,1,0.085106383
9,0.064292767,WT,WT5,1,0.095744681
10,0.064292767,WT,WT5,1,0.106382979
11,0.107083327,WT,WT5,1,0.117021277
12,0.121724501,WT,WT5,1,0.127659574
13,0.12569122,WT,WT5,1,0.138297872
14,0.136629828,WT,WT5,1,0.14893617
15,0.093373895,WT,WT5,1,0.159574468
16,0.237144968,WT,WT5,1,0.170212766
17,-1.481645019,WT,WT5,1,0.180851064
18,0.331177563,WT,WT5,1,0.191489362
19,0.442526589,WT,WT5,1,0.20212766
20,0.587773061,WT,WT5,1,0.212765957
21,0.692198031,WT,WT5,1,0.223404255
22,0.835693877,WT,WT5,1,0.234042553
23,0.929762174,WT,WT5,1,0.244680851
24,1.038211407,WT,WT5,1,0.255319149
25,1.044672937,WT,WT5,1,0.265957447
26,1.090604988,WT,WT5,1,0.276595745
27,1.073240691,WT,WT5,1,0.287234043
28,1.039163737,WT,WT5,1,0.29787234
29,0.994456951,WT,WT5,1,0.308510638
30,0.975919816,WT,WT5,1,0.319148936
31,0.972491453,WT,WT5,1,0.329787234
32,0.84724696,WT,WT5,1,0.340425532
33,0.735376417,WT,WT5,1,0.35106383
34,0.617945144,WT,WT5,1,0.361702128
35,0.504701433,WT,WT5,1,0.372340426
36,0.410072458,WT,WT5,1,0.382978723
37,0.343479338,WT,WT5,1,0.393617021
38,0.30075858,WT,WT5,1,0.404255319
39,0.250092437,WT,WT5,1,0.414893617
40,0.182321708,WT,WT5,1,0.425531915
41,-0.034388905,WT,WT5,1,0.436170213
42,-0.096201012,WT,WT5,1,0.446808511
43,-0.167358599,WT,WT5,1,0.457446809
44,-0.296692576,WT,WT5,1,0.468085106
45,-0.230823843,WT,WT5,1,0.478723404
46,-0.270140115,WT,WT5,1,0.489361702
47,-0.318028284,WT,WT5,1,0.5
48,-0.429147786,WT,WT5,1,0.510638298
49,-0.268788249,WT,WT5,1,0.521276596
50,-0.483107609,WT,WT5,1,0.531914894
51,-0.311657363,WT,WT5,1,0.542553191
52,-0.494996367,WT,WT5,1,0.553191489
53,-0.530826397,WT,WT5,1,0.563829787
54,-0.547447031,WT,WT5,1,0.574468085
55,-0.411480606,WT,WT5,1,0.585106383
56,-0.314608952,WT,WT5,1,0.595744681
57,-0.302217071,WT,WT5,1,0.606382979
58,-0.317976291,WT,WT5,1,0.617021277
59,-0.322424522,WT,WT5,1,0.627659574
60,-0.320037676,WT,WT5,1,0.638297872
61,-0.328366843,WT,WT5,1,0.64893617
62,-0.318550551,WT,WT5,1,0.659574468
63,-0.319492601,WT,WT5,1,0.670212766
